SCIEN,S100,some_body@email.edu,30,0,0,1,0
SCIEN,S101,some_body@email.edu,30,0,0,0,0
SCIEN,S102,some_body@email.edu,30,0,0,1,0
SCIEN,S103,some_body@email.edu,30,0,0,0,0
SCIEN,S104,some_body@email.edu,30,0,0,1,0
SCIEN,S105,some_body@email.edu,30,0,0,0,0
SCIEN,S106,some_body@email.edu,30,0,0,1,0
SCIEN,S107,some_body@email.edu,30,0,0,0,0
SCIEN,S108,some_body@email.edu,30,0,0,0,0
SCIEN,S109,some_body@email.edu,30,0,0,0,0
SCIEN,S110,science_chair@email.edu,35,0,1,0,0
SCIEN,S111,science_chair@email.edu,30,0,0,1,1
SCIEN,S112,science_chair@email.edu,40,0,0,1,1
SCIEN,S200,science_chair@email.edu,55,0,0,1,1
SCIEN,S201,science_chair@email.edu,20,1,0,1,1
SCIEN,S202,science_chair@email.edu,35,1,0,0,0
SCIEN,S203,science_chair@email.edu,90,0,0,1,0
SCIEN,S300,science_chair@email.edu,40,0,0,0,0
SCIEN,S301,science_chair@email.edu,30,0,1,0,0
SCIEN,S302,science_chair@email.edu,30,0,0,1,1
