building_code,room_number,start_time,end_time,SUN,MON,TUE,WED,THR,FRI,SAT,start_date,end_date
FINART,A207,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A207,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,0,0,0,1,0,0,01/11/16,04/29/16
FINART,A106,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A206,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1900,2130,0,1,0,0,0,0,0,01/11/16,04/29/16
FINART,A206,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A206,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A206,1300,1415,0,1,0,1,0,0,0,01/11/16,04/29/16
FINART,A104,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A100,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A104,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,0,0,1,0,0,0,01/11/16,04/29/16
FINART,A101,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,A201,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1300,1530,0,0,0,0,1,0,0,01/11/16,04/29/16
FINART,A206,1430,1545,0,1,0,1,0,0,0,01/11/16,04/29/16
FINART,A206,1200,1250,0,0,0,1,0,0,0,01/11/16,04/29/16
FINART,A206,1200,1250,0,0,0,1,0,0,0,01/11/16,04/29/16
FINART,A206,1200,1250,0,0,0,1,0,0,0,01/11/16,04/29/16
FINART,A206,1200,1250,0,0,0,1,0,0,0,01/11/16,04/29/16
FINART,A204,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A206,1800,2030,0,1,0,0,0,0,0,01/11/16,04/29/16
FINART,A204,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,A204,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,A204,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,A104,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A100,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A107,1530,1645,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,A104,1530,1645,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M103,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M103,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M103,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M103,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M103,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M103,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,1,0,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1300,1530,0,0,0,0,1,0,0,01/11/16,04/29/16
FINART,M103,800,910,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M008,1500,1550,0,1,0,0,0,0,0,01/11/16,04/29/16
FINART,M102,1500,1550,0,0,0,1,0,0,0,01/11/16,04/29/16
LIBRY,B29A,1200,1350,0,1,0,0,0,0,0,01/11/16,04/29/16
LIBRY,B29C,1600,1830,0,0,1,0,0,0,0,01/11/16,04/29/16
FINART,M011,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M011,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
LIBRY,B29A,1600,1830,0,1,0,0,0,0,0,01/11/16,04/29/16
FINART,M103,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M103,1600,1830,0,0,0,0,1,0,0,01/11/16,04/29/16
LIBRY,B29A,830,945,0,1,0,1,0,0,0,01/11/16,04/29/16
FINART,M011,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M011,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M011,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
LIBRY,B29A,1400,1630,0,0,0,1,0,0,0,01/11/16,04/29/16
LIBRY,B29A,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
LIBRY,B29A,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M105,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M105,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M105,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1900,2130,0,1,0,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1300,1530,0,0,0,1,0,0,0,01/11/16,04/29/16
FINART,M010,1100,1150,0,1,1,1,1,1,0,01/11/16,04/29/16
FINART,M001,1300,1350,0,1,0,1,0,0,0,01/11/16,04/29/16
FINART,CA35,1530,1620,0,1,0,1,0,0,0,01/11/16,04/29/16
FINART,M107,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1630,1859,0,0,0,1,0,0,0,01/11/16,04/29/16
FINART,M107,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M001,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M010,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M105,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M107,1400,1515,0,1,1,1,1,0,0,01/11/16,04/29/16
FINART,M107,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M105,1600,1730,0,0,1,0,1,0,0,01/11/16,04/29/16
FINART,M107,1300,1350,0,1,0,0,0,0,0,01/11/16,04/29/16
FINART,A200,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
FINART,M103,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1300,1530,0,1,0,0,0,0,0,01/11/16,04/29/16
FINART,M104,1600,1830,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,307,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,307,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,307,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,302,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,304,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,331,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,308,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,308,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,321,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,308,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,321,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,304,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,321,1400,1450,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,302,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,302,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,331,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,308,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,302,1400,1450,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,308,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,302,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,302,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,334,1100,1150,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,302,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,331,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,302,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,331,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,302,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,308,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,308,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,304,900,950,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,334,930,1045,0,0,1,0,1,0,0,03/22/16,04/29/16
ADMIN,320,1400,1515,0,0,1,0,1,0,0,03/22/16,04/29/16
ADMIN,304,900,950,0,1,0,1,0,0,0,03/02/16,04/29/16
ADMIN,308,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,304,1100,1215,0,0,1,0,1,0,0,03/29/16,04/29/16
ADMIN,304,1100,1215,0,0,1,0,1,0,0,01/12/16,04/29/16
ADMIN,304,1600,1830,0,0,0,0,1,0,0,03/31/16,04/29/16
ADMIN,304,1100,1215,0,0,1,0,1,0,0,02/16/16,04/29/16
ADMIN,304,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,304,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,304,1400,1450,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,304,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,308,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,330,1400,1630,0,0,1,0,0,0,0,01/11/16,04/29/16
ADMIN,304,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,334,1200,1250,0,1,0,1,0,0,0,03/01/16,04/29/16
ADMIN,304,1230,1320,0,0,1,0,1,0,0,03/03/16,04/29/16
ADMIN,304,1230,1320,0,0,1,0,1,0,0,01/12/16,04/29/16
ADMIN,331,1100,1215,0,0,1,0,0,0,0,01/12/16,04/29/16
ADMIN,330,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,334,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,330,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,330,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,320,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,237,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,237,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,320,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,320,1400,1515,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,237,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,334,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,322,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,320,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,333,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,334,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,333,1800,2030,0,0,1,0,0,0,0,01/11/16,04/29/16
ADMIN,303,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,304,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,320,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,333,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,334,1400,1630,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,303,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,334,1400,1630,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,330,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,330,1400,1450,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,330,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,330,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,333,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,330,1500,1730,0,0,0,1,0,0,0,02/10/16,04/29/16
ADMIN,334,1400,1630,0,0,1,0,0,0,0,01/11/16,04/29/16
ADMIN,330,1400,1630,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,334,1400,1630,0,0,1,0,0,0,0,01/11/16,04/29/16
CARTER,401,1230,1320,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,AT LAB,1000,1050,0,1,0,0,0,1,0,01/11/16,04/29/16
CARTER,401,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,AT LAB,1000,1150,0,0,0,1,0,0,0,01/11/16,04/29/16
CARTER,402,900,950,0,1,0,1,0,0,0,01/11/16,04/29/16
CARTER,AT LAB,900,950,0,0,0,0,0,1,0,01/11/16,04/29/16
CARTER,DSTU,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,401,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,AT LAB,1200,1350,0,0,0,1,0,0,0,01/11/16,04/29/16
CARTER,AT LAB,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,406,1100,1150,0,0,1,0,1,0,0,01/11/16,04/29/16
RAHALL,304,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1900,2130,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,203,1000,1150,0,0,0,0,0,1,0,01/11/16,04/29/16
SCIEN,203,1300,1450,0,0,0,0,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1700,1859,0,1,0,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1900,2100,0,1,0,0,0,0,0,01/11/16,04/29/16
SCIEN,300,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,300,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,300,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,300,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,300,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,203,1000,1150,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,203,1300,1450,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,203,1500,1650,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,203,900,1050,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,203,1100,1250,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,203,1300,1450,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,203,1500,1650,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,203,800,950,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,203,1000,1150,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,300,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,210,930,1055,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,210,1100,1225,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,204,1230,1320,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,320,1800,2030,0,0,0,1,0,0,0,02/01/16,04/29/16
ADMIN,310,1830,2030,0,1,0,0,0,0,0,01/11/16,04/29/16
SCIEN,300,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,207,800,950,0,0,0,0,0,1,0,01/11/16,04/29/16
SCIEN,300,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,207,1000,1150,0,0,0,0,0,1,0,01/11/16,04/29/16
SCIEN,207,1300,1450,0,0,0,0,0,1,0,01/11/16,04/29/16
SCIEN,207,1500,1650,0,0,0,0,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1400,1630,0,1,0,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1400,1600,0,0,0,1,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1400,1630,0,1,0,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1400,1600,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,204,930,1020,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,210,1330,1620,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,204,1400,1515,0,1,0,1,0,0,0,01/11/16,04/29/16
SCIEN,210,1530,1720,0,0,0,1,0,0,0,01/11/16,04/29/16
ADMIN,237,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,207,930,1055,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,207,1100,1225,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,320,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
LIBRY,B28,1430,1620,0,0,1,0,0,0,0,01/11/16,04/29/16
LIBRY,B28,1430,1620,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,204,1200,1250,0,1,0,0,0,1,0,01/11/16,04/29/16
SCIEN,400,1830,1920,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,309,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,400,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,400,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,404,800,1050,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,404,1400,1650,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,404,1300,1550,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,404,800,1050,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,404,1300,1550,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,404,1600,1850,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,400,1300,1415,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,400,1430,1720,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,400,1430,1720,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,400,1200,1450,0,0,0,0,0,1,0,01/11/16,04/29/16
SCIEN,400,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,400,1400,1650,0,1,0,1,0,0,0,01/11/16,04/29/16
SCIEN,404,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,404,1400,1650,0,0,0,0,0,1,0,01/11/16,04/29/16
SCIEN,400,1830,1920,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,101,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,103,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,102,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,102,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,104,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,104,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,102,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,102,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,400,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,400,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1900,2130,0,1,0,0,0,0,0,01/11/16,04/29/16
SCIEN,301,1200,1350,0,0,0,0,0,1,0,01/11/16,04/29/16
SCIEN,301,1530,1720,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,301,1300,1450,0,0,0,1,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1900,2100,0,0,1,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1630,1900,0,0,0,1,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1930,2130,0,0,0,1,0,0,0,01/11/16,04/29/16
SCIEN,400,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,301,900,1150,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,308,1300,1415,0,1,0,1,0,0,0,01/11/16,04/29/16
SCIEN,308,1430,1530,0,1,0,1,1,0,0,01/11/16,04/29/16
SCIEN,309,1300,1415,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,307,1430,1600,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,402,1200,1250,0,1,0,1,0,0,0,01/11/16,04/29/16
CARTER,405,1000,1050,0,1,0,1,0,0,0,01/11/16,04/29/16
CARTER,405,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,402,1300,1350,0,1,0,1,0,0,0,01/11/16,04/29/16
SCIEN,204,800,850,0,1,1,1,1,1,0,01/11/16,04/29/16
LIBRY,B8,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,204,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
LIBRY,B8,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,204,800,850,0,1,1,1,1,1,0,03/07/16,04/29/16
LIBRY,B8,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,101,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,105,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,105,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
