FINART,M103, noOwner@concord.edu,40,0,1,1,0
RAHALL,315A, noOwner@concord.edu,40,0,1,1,0
ADMIN,304, noOwner@concord.edu,40,0,1,1,0
FINART,M001, noOwner@concord.edu,40,0,1,1,0
FINART,M107, noOwner@concord.edu,40,0,1,1,0
SCIEN,304, winfrey@concord.edu,35,0,1,0,1
FINART,A201, noOwner@concord.edu,40,0,1,1,0
ADMIN,302, noOwner@concord.edu,40,0,1,1,0
SCIEN,210, winfrey@concord.edu,35,0,1,0,1
ADMIN,310, noOwner@concord.edu,40,0,1,1,0
SCIEN,101, winfrey@concord.edu,35,0,1,0,1
CARTER,406, noOwner@concord.edu,40,0,1,1,0
LIBRY,B28, noOwner@concord.edu,40,0,1,1,0
FINART,A100, noOwner@concord.edu,40,0,1,1,0
FINART,CA35, noOwner@concord.edu,40,0,1,1,0
ADMIN,307, noOwner@concord.edu,40,0,1,1,0
RAHALL,128, noOwner@concord.edu,40,0,1,1,0
ADMIN,303, noOwner@concord.edu,40,0,1,1,0
CARTER,AT LAB, noOwner@concord.edu,40,0,1,1,0
FINART,A206, noOwner@concord.edu,40,0,1,1,0
BECKLY,E10, noOwner@concord.edu,40,0,1,1,0
FINART,A207, noOwner@concord.edu,40,0,1,1,0
FINART,A204, noOwner@concord.edu,40,0,1,1,0
ADMIN,135, noOwner@concord.edu,40,0,1,1,0
SCIEN,103, winfrey@concord.edu,35,0,1,0,1
SCIEN,400, winfrey@concord.edu,35,0,1,0,1
RAHALL,315B, noOwner@concord.edu,40,0,1,1,0
ADMIN,331, noOwner@concord.edu,40,0,1,1,0
FINART,A200, noOwner@concord.edu,40,0,1,1,0
ADMIN,308, noOwner@concord.edu,40,0,1,1,0
FINART,A107, noOwner@concord.edu,40,0,1,1,0
CARTER,401, noOwner@concord.edu,40,0,1,1,0
BECKLY,HEC, noOwner@concord.edu,40,0,1,1,0
RAHALL,304, noOwner@concord.edu,40,0,1,1,0
ADMIN,309, noOwner@concord.edu,40,0,1,1,0
ADMIN,109, noOwner@concord.edu,40,0,1,1,0
SCIEN,404, winfrey@concord.edu,35,0,1,0,1
ADMIN,100, noOwner@concord.edu,40,0,1,1,0
CARTER,402, noOwner@concord.edu,40,0,1,1,0
SCIEN,102, winfrey@concord.edu,35,0,1,0,1
CARTER,DSTU, noOwner@concord.edu,40,0,1,1,0
SCIEN,105, winfrey@concord.edu,35,0,1,0,1
RAHALL,311, noOwner@concord.edu,40,0,1,1,0
SCIEN,207, winfrey@concord.edu,35,0,1,0,1
SCIEN,104, winfrey@concord.edu,35,0,1,0,1
ADMIN,110, noOwner@concord.edu,40,0,1,1,0
RAHALL,103, noOwner@concord.edu,40,0,1,1,0
LIBRY,B29C, noOwner@concord.edu,40,0,1,1,0
ADMIN,330, noOwner@concord.edu,40,0,1,1,0
SCIEN,203, winfrey@concord.edu,35,0,1,0,1
SCIEN,307, winfrey@concord.edu,35,0,1,0,1
ADMIN,321, noOwner@concord.edu,40,0,1,1,0
ADMIN,300, noOwner@concord.edu,40,0,1,1,0
CARTER,405, noOwner@concord.edu,40,0,1,1,0
LIBRY,B8, noOwner@concord.edu,40,0,1,1,0
FINART,M105, noOwner@concord.edu,40,0,1,1,0
FINART,M008, noOwner@concord.edu,40,0,1,1,0
LIBRY,B29A, noOwner@concord.edu,40,0,1,1,0
FINART,M104, noOwner@concord.edu,40,0,1,1,0
FINART,A101, noOwner@concord.edu,40,0,1,1,0
ADMIN,333, noOwner@concord.edu,40,0,1,1,0
RAHALL,303, noOwner@concord.edu,40,0,1,1,0
FINART,M010, noOwner@concord.edu,40,0,1,1,0
SCIEN,300, winfrey@concord.edu,35,0,1,0,1
FINART,A106, noOwner@concord.edu,40,0,1,1,0
SCIEN,301, winfrey@concord.edu,35,0,1,0,1
ADMIN,301, noOwner@concord.edu,40,0,1,1,0
RAHALL,318, noOwner@concord.edu,40,0,1,1,0
ADMIN,334, noOwner@concord.edu,40,0,1,1,0
STUCTR,107, noOwner@concord.edu,40,0,1,1,0
CARTER,ATTR, noOwner@concord.edu,40,0,1,1,0
FINART,M102, noOwner@concord.edu,40,0,1,1,0
ADMIN,322, noOwner@concord.edu,40,0,1,1,0
SCIEN,308, winfrey@concord.edu,35,0,1,0,1
FINART,M011, noOwner@concord.edu,40,0,1,1,0
ADMIN,136, noOwner@concord.edu,40,0,1,1,0
SCIEN,204, winfrey@concord.edu,35,0,1,0,1
ADMIN,124, noOwner@concord.edu,40,0,1,1,0
ADMIN,237, noOwner@concord.edu,40,0,1,1,0
ADMIN,320, noOwner@concord.edu,40,0,1,1,0
FINART,A104, noOwner@concord.edu,40,0,1,1,0
SCIEN,309, winfrey@concord.edu,35,0,1,0,1
